index,equity
712,1033025.75
713,1034099.06
714,1036922.75
715,1028659.07
716,1031297.96
717,1020112.86
718,1023236.03
719,1020425.25
720,1022677.59
721,1025447.21
722,1014543.03
723,1014407.45
724,999623.21
725,991690.40
726,990432.21
727,996750.29
728,991198.94
729,987685.18
730,983085.36
731,988922.39
732,990940.70
733,992770.17
734,994136.42
735,1003777.65
736,1017447.42
737,1007919.17
738,1013358.35
739,1014755.27
740,1019694.03
741,1009945.55
742,1015457.28
743,1013334.14
744,1022454.05
745,1023905.84
746,1022704.22
747,1019129.21
748,1024201.93
749,1020992.57
750,1031981.49
751,1033248.48
752,1033717.35
753,1044379.43
754,1037042.19
755,1033267.85
756,1022324.93
757,1023470.87
758,1021404.14
759,1023080.28
760,1019932.98
761,1012236.54
762,1011760.49
763,1012879.80
764,1004110.13
765,1005003.48
766,1008266.99
767,1010329.68
768,1013988.62
769,1015085.33
770,1003569.36
771,1008554.28
772,1008831.89
773,1006278.54
774,1001406.68
775,1002509.85
776,987656.21
777,990294.29
778,990203.91
779,987163.94
780,978681.56
781,979553.93
782,979808.94
783,983206.41
784,983119.25
785,982981.26
786,991795.31
787,993627.20
788,995306.57
789,1003223.24
790,1002122.49
791,1004213.35
792,1012906.43
793,1014107.17
794,1012067.15
795,1006505.31
796,1017390.93
797,1017245.67
798,1024318.22
799,1025452.86
800,1023252.17
801,1023365.96
802,1019658.60
803,1024581.30
804,1015659.03
805,1015053.78
806,1015295.96
807,1018835.46
808,1029958.34
809,1038674.75
810,1040019.21
811,1040465.48
812,1032646.46
813,1027650.32
814,1035728.39
815,1040191.10
816,1036188.38
817,1036162.56
818,1042738.80
819,1035935.79
820,1041845.45
821,1038695.73
822,1041967.31
823,1043491.73
824,1063569.89
825,1056661.97
826,1055298.95
827,1066617.93
828,1068589.43
829,1078572.02
830,1076010.60
831,1083042.80
832,1076449.61
833,1088907.27
834,1086666.23
835,1079960.87
836,1071422.00
837,1074424.85
838,1067433.00
839,1076861.99
840,1065346.10
841,1062609.56
842,1056635.34
843,1058208.99
844,1048648.46
845,1042967.18
846,1047179.72
847,1043064.02
848,1056201.98
849,1044033.23
850,1036188.38
851,1038949.13
852,1032146.12
853,1031634.48
854,1026166.25
855,1027253.28
856,1028479.92
857,1024519.97
858,1030338.44
859,1030603.86
860,1035912.39
861,1041086.79
862,1043339.21
863,1044585.22
864,1052328.38
865,1052907.81
866,1045436.60
867,1038142.13
868,1033597.91
869,1041483.03
870,1033404.23
871,1029273.20
872,1035478.22
873,1029877.64
874,1032748.95
875,1022937.36
876,1028344.34
877,1027183.07
878,1031037.30
879,1025235.78
880,1029616.98
881,1031464.93
882,1025052.59
883,1025679.63
884,1033339.67
885,1031403.68
886,1034824.55
887,1038196.20
888,1029562.10
889,1029458.81
890,1031573.15
891,1034057.90
892,1032837.72
893,1032707.79
894,1044710.30
895,1044266.45
896,1032774.77
897,1034889.11
898,1042118.22
899,1042464.42
900,1040172.54
901,1039296.14
902,1045022.61
903,1044602.97
904,1036645.95
905,1029237.69
906,1033517.21
907,1028368.55
908,1030507.91
909,1022216.79
910,1020468.02
911,1006749.02
912,1007830.40
913,1007928.05
914,1003332.99
915,1003785.72
916,1012347.99
917,1011963.05
918,1013157.41
919,1012267.29
920,1018359.25
921,1018586.10
922,1022372.54
923,1022800.25
924,1029119.87
925,1028167.53
926,1035018.23
927,1039497.89
928,1044711.03
929,1051610.96
930,1054910.78
931,1065805.28
932,1058462.39
933,1066354.85
934,1065006.35
935,1065256.52
936,1064005.67
937,1057832.93
938,1063796.66
939,1067852.64
940,1079783.33
941,1079282.99
942,1082984.70
943,1082349.59
944,1072495.31
945,1072025.64
946,1074997.01
947,1077547.13
948,1076239.79
949,1083242.13
950,1094777.39
